iteration	timestamp	score	champion_score	status	prompt_hash	brief	test_1	test_2	test_3	test_4	test_5	test_6	test_7	test_8	test_9	test_10	test_11	analysis
0	2026-03-23T22:07:01.467410	3231	3231	baseline	baseline	baseline.json	315	288	432	243	207	207	297	216	297	360	369	All nine plans are byte-identical, so scores are uniform. The most common failure patterns are: (1) deliverables use banned vague words like 'working', 'functional', 'ready', and 'clean' (test_5 req_2 scores low across every phase, especially Phase 11's 'Fully functional MVP ready'); (2) commit cond
1	2026-03-23T22:14:45.352078	3962	3962	keep	86f89f33	all_3	333	309	443	243	320	349	343	355	399	425	443	The most common failure patterns across all plans are: (1) Test 4 (arbitrary ordering) consistently scores low because nearly all plans use numbered sub-steps within phases even when tasks are independent and could be parallelized as bullets, violating the requirement to present independent tasks as
2	2026-03-23T22:54:46.301061	3974	3974	keep	965f26c3	all_3	333	319	444	249	317	339	350	398	351	429	445	The most common failure pattern across all plans is Test 4 (Arbitrary Ordering): tasks within phases are almost universally presented as numbered sequential lists even when many are independent and could be parallelized, violating req_3 and req_4. The StudyBattles plans (1-3) consistently struggle w
3	2026-03-24T00:22:38.791121	3842	3974	discard	359028c1	all_3	333	305	418	237	321	344	338	331	352	424	439	The most common failure patterns are: (1) Test 4 (arbitrary ordering) — nearly all plans use numbered task lists within phases even when tasks are independent, failing to distinguish parallel from sequential work. (2) Test 8 (example I/O) — web-app plans with frontend phases often lack concrete UI example descriptions and API phases for CLI tools lack curl/request examples consistently; the CLI plans (4-6) miss API-phase examples since they have no API/UI phases. (3) Test 9 (phase count/granularity) — the StudyBattles plans (1-3) are truncated at phase 8 and appear to target 10+ phases, while the incomplete final phases and uneven task counts across phases reduce granularity scores. The CLI plans (4-6) score highest overall due to clean 6-phase structure, well-bounded scope, and highly testable commit conditions.
4	2026-03-24T02:33:16.727740	3931	3974	discard	82b464ad	all_3	327	302	438	246	314	346	339	353	391	430	445	The most common failure patterns are: (1) Test 4 (arbitrary ordering) consistently scores low across all plans because tasks within phases are presented as numbered sequential lists even when many are independent and could be parallelized—almost no plan uses bullet points or explicitly marks tasks as parallelizable. (2) Test 8 (example I/O presence) is strong for web/API plans but CLI-only plans (Plans 4-6) completely lack UI-phase and database-phase examples since they have no UI or traditional database phases, scoring 0 on those specific sub-requirements. (3) Deliverable specificity (Test 5) suffers mildly across plans from occasional use of banned vague words like 'working' in context and from truncated plans (Plans 1, 2, 3, 8, 9) whose later phases are cut off, making full evaluation impossible for those phases.
5	2026-03-24T03:18:10.753661	3628	3974	discard	8a73dde5	all_3	320	305	437	234	279	326	303	253	370	383	418	The most common failure pattern is Test 8 (Example I/O Presence): CLI-only projects (Plans 4-6) consistently score 0 on API, UI, and database example I/O requirements since they lack those layers, while web projects often truncate or omit examples for later phases. Test 4 (Arbitrary Ordering) is universally weak—nearly all plans use numbered task lists within phases even when tasks are independent, failing to distinguish parallel from sequential work. Test 5 (Deliverable Specificity) suffers from occasional use of vague words like 'working' and insufficient use of specific action verbs, though most plans name concrete artifacts. Plans 1-3 (StudyBattles) are incomplete or truncated, penalizing later-phase scoring.
6	2026-03-24T04:52:16.628123	3848	3974	discard	3bccdacd	all_3	330	315	439	241	314	340	354	276	370	424	445	The most common failure pattern across all plans is Test 8 (Example I/O Presence): CLI-only projects (Plans 4-6) consistently lack API, UI, and database example I/O since those domains don't apply, while web projects (Plans 1-3, 7-9) lack CLI examples. Test 4 (Free of Arbitrary Ordering) is universally weak—nearly all plans use numbered task lists within phases even when tasks are independent, forcing an implied sequential order. Test 9 phase count is a frequent issue for the StudyBattles web plans (Plans 1-3) which are truncated or have 7+ tasks per phase, suggesting insufficient splitting, while the CLI plans (Plans 4-6) with exactly 6 phases are borderline on the lower end.
7	2026-03-24T05:43:19.810044	3809	3974	discard	a082fe0d	all_3	334	304	435	234	296	329	324	343	380	406	424	The most common failure patterns are: (1) Test 4 (arbitrary ordering) consistently scores low across all plans—tasks within phases are almost always numbered sequentially even when independent, and plans rarely present parallel-safe tasks as unordered bullets. (2) Test 8 (example I/O) is weak for CLI-only projects (Plans 4–6) which lack UI/database example outputs in some phases, and the web app plans (1–3, 7–9) sometimes omit concrete examples for frontend phases. (3) Test 5 (deliverable specificity) suffers from occasional vague words like 'working' and insufficient use of precise verbs like 'returns' or 'renders,' though most plans name concrete artifacts well. Plans 4–6 (DevLogSummarizer) score highest overall due to tighter scope and more linear dependency chains, while the StudyBattles and InvoiceFlow plans lose points on granularity and phase count balance.
8	2026-03-24T06:44:48.923963	3860	3974	discard	7a4114bd	all_3	329	313	441	224	305	346	327	347	381	409	438	The most common failure pattern across all plans is Test 4 (Arbitrary Ordering): nearly every plan uses numbered task lists within phases even when tasks are independent and parallelizable, violating req_3 and req_4. Test 8 (Example I/O Presence) is another weak area—CLI-focused plans (4–6) lack UI/database-specific examples, while web plans sometimes omit CLI-phase examples. Several plans also include borderline vague deliverable language ('working', 'functional') or truncated final phases that reduce scores on deliverable specificity and completeness.
9	2026-03-24T07:38:26.479381	3878	3974	discard	4bce3fd7	all_3	335	316	423	249	319	334	346	351	352	418	435	The most common failure patterns are: (1) truncated plans (Plans 1, 2, 3, 7, 8 are cut off mid-phase, causing phase count to fall well below the 6–12 target and losing deployment/polish phases), which directly fails test_9 req_1 and test_3 req_4; (2) within-phase tasks are almost universally presented as numbered sequential lists even when many are independent (e.g., installing packages and writing tests), consistently failing test_4 req_4 across all plans; and (3) UI-focused phases lack concrete example I/O (no screenshot descriptions or rendered HTML examples), causing partial failures on test_8 req_3 for web-based plans, while CLI plans (4, 5, 6) perform better by showing terminal output examples.
10	2026-03-24T08:32:56.052212	3893	3974	discard	a380aa50	all_3	336	308	441	232	307	326	335	359	395	416	438	The most common failure pattern across all plans is Test 4 (arbitrary ordering): nearly every plan uses numbered task lists within phases even when tasks are independent, failing req_3 and req_4 consistently. Test 8 (example I/O presence) is weak for CLI-focused plans (Plans 4–6) which lack UI/database schema examples in some phases, and for web plans that truncate or omit example outputs in later phases. Deliverable specificity (Test 5 req_2) is a recurring soft failure, with words like 'working' or vague phrasing appearing in some deliverables, particularly in Plan 2's e2e testing phase.
11	2026-03-24T09:34:16.188249	3813	3974	discard	1503a46c	all_3	325	299	441	225	291	327	338	368	347	429	423	The most common failure patterns are: (1) Test 4 (arbitrary ordering) — nearly all plans use numbered task lists within phases even when tasks are independent, forcing a false sequential reading and scoring poorly on parallel-option presentation. (2) Test 8 (example I/O) — CLI-only projects (Plans 4–6) score 0 on UI-phase examples since no UI phases exist, while web projects with truncated plans (Plans 1–3, 7–9) often lack frontend example I/O for incomplete final phases. (3) Test 9 (phase count/granularity) — the StudyBattles web plans are truncated mid-phase, making phase count assessment incomplete, and several plans pack too many tasks (>8) into single phases like the final deployment phase.
12	2026-03-24T10:33:08.265784	3983	3983	keep	b634791d	all_3	340	318	441	234	335	345	343	370	398	423	436	The most pervasive failure across all plans is Test 4 (arbitrary ordering): tasks within phases are almost universally presented as numbered/sequential lists even when many are independent and could be parallelized, and no plan uses bullet points for truly independent tasks. Plans 1–3 (StudyBattles web apps) also struggle with incomplete JSON (Plans 1, 2, 3 are truncated mid-phase), which undermines phase count evaluation and late-phase example I/O coverage. CLI-based plans (4–6) score highest overall due to tighter scope and more concrete deliverables, but all plans lack UI-specific example I/O for non-API phases (Test 8 req_3), particularly for frontend phases where descriptions are vague rather than showing actual screen states or mockup details.
13	2026-03-24T11:32:34.139415	3962	3983	discard	701b9900	all_3	341	302	449	266	317	340	347	342	400	418	440	The most common failure patterns across all plans are: (1) Test 4 (arbitrary ordering) — nearly all plans use numbered task lists within phases even when tasks are independent, scoring poorly on req_4 for presenting parallel options as bullets rather than numbered sequences. (2) Test 8 (example I/O) — CLI-based plans (4, 5, 6) completely lack UI or database schema examples in early phases, and no plan consistently provides example curl/request + JSON response for every phase. (3) Test 5 req_2 — several deliverables slip in vague words like 'working' or 'functional' despite otherwise strong specificity, and some plans use 'accessible' or 'fully functional' phrasing in deployment phases.
14	2026-03-24T12:38:29.679812	4068	4068	keep	446f709e	all_3	335	333	450	245	328	357	350	405	388	431	446	The most common failure pattern across all plans is Test 4 (arbitrary ordering): nearly every plan uses numbered task lists within phases even when tasks are independent and could be parallelized, inflating perceived sequentiality. Test 8 (Example I/O) is strong for API-heavy phases but weaker for CLI plans lacking UI/database example output in every phase. Plans 1-3 (StudyBattles web apps with 11 phases) slightly exceed the ideal phase count ceiling and occasionally use vague deliverable language like 'fully restores state', while the CLI plans (4-6) are tighter in granularity and deliverable specificity but lack UI/database example coverage. Plan 1 is truncated at Phase 11, and Plan 9 has a typo referencing 'Uvicorn' in a Node.js/Express project.
15	2026-03-24T13:48:50.205206	3899	4068	discard	ef9837a0	all_3	336	306	445	247	307	344	342	353	382	404	433	The most common failure patterns across all plans are: (1) Test 4 (arbitrary ordering) consistently scores low because nearly all plans use numbered task lists within phases even when tasks are independent and could be parallelized, violating req_4. (2) Test 8 (Example I/O Presence) is weak for CLI-focused plans (Plans 4-6) which lack API/UI examples for phases, and web plans often miss CLI-phase output examples. (3) Test 5 (Deliverable Specificity) suffers from occasional use of banned vague words and insufficiently specific verbs, though most plans do well on naming concrete artifacts and file paths.
16	2026-03-24T14:44:58.430972	3911	4068	discard	a4d959a3	all_3	325	310	449	246	297	330	327	370	409	415	433	The most consistent failure pattern across all plans is Test 4 (Arbitrary Ordering): tasks within phases are nearly always presented as numbered sequential lists even when many are independent and could be parallelized, earning low scores on req_3 and req_4. Test 5 (Deliverable Specificity) also shows recurring weakness, with several plans using banned vague words like 'working' or 'functional' in deliverables. CLI-focused plans (4–6) struggle with Test 8 (Example I/O) for phases lacking UI, where database or API examples are sometimes absent, while web-app plans (1–3, 7–9) generally provide richer curl/response examples but occasionally miss UI-specific mockup descriptions.
17	2026-03-24T21:29:51.620500	3870	4068	discard	072fce3d	all_3	319	310	443	249	309	329	324	340	381	436	430	The most common failure patterns are: (1) Test 4 (arbitrary ordering) consistently scores low across all plans because tasks within phases are numbered sequentially even when many are independent and could be parallelized, and independent items are presented as ordered lists rather than bullets. (2) Test 8 (example I/O) is weak for CLI-only projects (Plans 4-6) where API/UI/database examples are not applicable, and several web app plans lack explicit curl/request + JSON response examples for every phase, particularly frontend-focused phases. (3) Test 5 (deliverable specificity) loses points across plans for occasional use of vague words like 'working' or 'complete' and some deliverables that describe behavior without naming concrete artifacts.
18	2026-03-24T22:25:05.261440	4063	4068	discard	3aee9c27	all_3	333	318	450	234	316	357	357	394	408	447	449	The most common failure pattern across all plans is Test 4 (Arbitrary Ordering): nearly every plan uses numbered task lists within phases even when tasks are independent and could be done in parallel, scoring consistently low on req_3 and req_4. A secondary weakness is Test 5 req_2 (Deliverable Specificity), where several plans use vague words like 'working' or 'valid' in deliverables instead of concrete observable outcomes. Test 8 (Example I/O) is generally strong across plans but CLI-focused plans (4-6) sometimes lack UI/visual examples for non-API phases like documentation and packaging.
19	2026-03-24T23:24:10.176450	4094	4094	keep	957dfdad	all_3	334	330	449	241	339	349	356	384	427	444	441	The most common failure pattern across all plans is Test 4 (Arbitrary Ordering): tasks within phases are almost universally presented as numbered/sequential lists even when many are independent and could be parallelized, with no plan using bullet points for truly independent tasks. The CLI-based plans (4–6) consistently underperform on Test 8 (Example I/O) because they lack UI or database phases where concrete before/after examples are natural—several phases show only CLI output without demonstrating API request/response or schema examples. Plans 1–3 (StudyBattles web apps) occasionally include vague deliverable language or miss specific file paths compared to the more tightly scoped CLI and InvoiceFlow plans.
20	2026-03-25T00:59:05.524498	3973	4094	discard	9176da34	all_3	331	318	443	252	318	337	338	370	402	430	434	The most common failure pattern across all plans is Test 4 (arbitrary ordering): nearly every plan uses numbered task lists within phases even when tasks are independent, and few present parallel-safe tasks as unordered bullets. Test 8 (Example I/O) is the second most inconsistent area—CLI-focused plans (4–6) lack UI/database example outputs in early phases, and web plans sometimes omit curl examples for frontend phases. Test 5 (deliverable specificity) sees occasional use of banned vague words like 'working' or 'functional' and some deliverables that describe states rather than concrete artifacts.
21	2026-03-25T01:52:11.369509	3976	4094	discard	16a44ef9	all_3	331	314	450	231	311	342	340	367	421	431	438	The most common failure pattern across all plans is Test 4 (arbitrary ordering): nearly every plan uses numbered task lists within phases even when tasks are independent and could be parallelized, scoring consistently low on req_3 and req_4. Test 8 (example I/O) is the second weakest area—UI-focused and CLI phases frequently lack concrete before/after screen descriptions or omit example terminal output, particularly for frontend phases. Plans 1 and 2 are truncated (Plan 1 cuts off mid-Phase 11, Plan 2 mid-Phase 10), which penalizes completeness but the existing phases are generally strong on specificity and testability.
22	2026-03-25T03:22:36.423061	3904	4094	discard	10ba84d1	all_3	321	311	449	241	289	329	320	363	404	437	440	The most common failure pattern across all plans is Test 4 (Arbitrary Ordering): tasks within phases are almost universally presented as numbered sequential lists even when many are independent (e.g., installing packages and creating config files), and no plan uses bullet points for parallel-eligible tasks. Test 5 (Deliverable Specificity) is another weak spot, with several plans using banned vague words like 'working' or 'functional' in deliverables and relying on descriptive rather than artifact-specific language. CLI-only plans (4–6) consistently score poorly on Test 8 Example I/O for UI phases since there are no UI phases, but they also miss showing example API/curl I/O for every phase despite having no frontend.
23	2026-03-25T04:55:28.519136	4065	4094	discard	71cece17	all_3	338	315	450	245	326	345	341	397	413	445	450	The most common failure pattern across all plans is Test 4 (Arbitrary Ordering): nearly every plan uses numbered sequential task lists within phases even when tasks are independent and could be parallelized, earning consistent low scores on req_4 (independent tasks as parallel options). A secondary pattern is Test 5 req_2 (banned vague words): several plans use words like 'working' or 'functional' in deliverables or nearby descriptions. The CLI-focused plans (4, 5, 6) score notably higher on granularity and specificity because their simpler scope allows tighter deliverables and commit conditions, while the larger web-app plans (1–3, 7–9) occasionally have overloaded final phases combining testing, deployment, and documentation.
24	2026-03-25T05:44:57.210800	3951	4094	discard	c36839f3	all_3	332	307	449	245	295	344	327	375	412	424	441	The most common failure pattern across all plans is Test 4 (Arbitrary Ordering): tasks within phases are almost universally presented as numbered sequential lists even when many are independently executable, and no plan uses bullet points for parallel tasks. Test 5 (Deliverable Specificity) also suffers consistently, with occasional vague words like 'working' or 'functional' slipping into deliverables and some deliverables lacking specific action verbs. The CLI-focused plans (4, 5, 6) score highest overall due to narrower scope producing more precise deliverables and commit conditions, while the web monorepo plans struggle more with UI phase example I/O (Test 8 req_3) where mockup descriptions are sometimes vague rather than concrete.
25	2026-03-25T06:43:27.430881	3909	4094	discard	5f8babb5	all_3	318	303	450	229	317	327	334	349	411	431	440	The most common failure pattern across all plans is Test 4 (Arbitrary Ordering): nearly every plan uses numbered task lists even when tasks are independent and could be parallelized, violating req_3 and req_4. Test 8 (Example I/O Presence) is weak for CLI-focused plans (Plans 4-6) which lack API curl/JSON examples or UI descriptions for non-applicable phase types, and web plans sometimes miss database-specific example schemas. Plans with the word 'working' or 'functional' in deliverables lost points on Test 5 req_2, and Plan 3 scored lower on Test 8 due to several phases missing concrete example I/O blocks entirely.
